$id,$permissions,$createdAt,$updatedAt,Title,Description,Link,GitHubLink,imageId
66a42cf30017d026c701,,2024-07-26T23:10:43.683+00:00,2024-08-03T22:21:29.335+00:00,Meditation sessions counter,The Weekly Meditation Session Counter — a nice little habit-building tool.,https://alenatih.github.io/Meditation-sessions-counter/,https://github.com/AlenaTih/Meditation-sessions-counter,null
66a42f5e003e71e6b4e6,,2024-07-26T23:21:03.372+00:00,2024-08-03T22:22:15.060+00:00,Add to Cart Mobile App (PWA),"Let this cute cat remember what you need to buy. Shop with confidence, fun, and ease like a breeze.",https://alenatih.github.io/Add-to-cart-mobile-app/,https://github.com/AlenaTih/Add-to-cart-mobile-app,null
66a8126c0008f72238a3,,2024-07-29T22:06:36.852+00:00,2024-08-03T22:22:52.566+00:00,Good News App,"Tired of only bad news everywhere? While taking care of what you can and helping where possible, contribute to spreading light and positivity. Share something good and valuable to you.",https://alenatih.github.io/Good-news-feed-of-light/,https://github.com/AlenaTih/Good-news-feed-of-light,null
66a812fc000364ff30ce,,2024-07-29T22:09:01.006+00:00,2024-08-03T22:23:59.587+00:00,"Twitter, or X, clone","A Twitter, or X, clone with unique content and awesome functionality. It shows what the version of X might look like in the Wizarding World of Harry Potter.",https://alenatih.github.io/Twitter-or-X-clone/,https://github.com/AlenaTih/Twitter-or-X-clone,null
66a813c00029224b1b09,,2024-07-29T22:12:17.379+00:00,2024-08-03T22:24:23.097+00:00,Christmas Meme Picker,Select your current emotion and see a cute Christmas cat or dog feeling the same! Happy Holidays!,https://alenatih.github.io/Christmas-Meme-Picker/,https://github.com/AlenaTih/Christmas-Meme-Picker,null
66a8144a0007266e0959,,2024-07-29T22:14:34.915+00:00,2024-08-03T22:24:54.734+00:00,Eco Travel Hub ,"EcoTravelHub is your go-to destination for exploring the world sustainably! This project aims to promote eco-friendly travel, providing valuable information and resources for conscious adventurers. Fully responsive website. Built with a mobile-first approach and accessibility in mind.",https://alenatih.github.io/Eco-Travel-Hub/,https://github.com/AlenaTih/Eco-Travel-Hub,null
66a81625001dc3e2c82a,,2024-07-29T22:22:30.178+00:00,2024-08-03T22:25:24.867+00:00,Learning Journal,"A personal project documenting my journey into Frontend development. This repository serves as a digital diary where I share insights, experiences, and the milestones achieved on this coding adventure.",https://alenatih.github.io/Learning-Journal/,https://github.com/AlenaTih/Learning-Journal,null
66a816ff001d75f786a2,,2024-07-29T22:26:08.557+00:00,2025-09-01T22:09:07.628+00:00,Coffee Time with Me app,"Coffee Time with Me aims to bring people together for virtual coffee chats where we can discuss programming, network, and have a great time together. Whether you’re a coding enthusiast or just someone who enjoys good conversations, this is the place for you! I will be happy to meet you!",https://alenatih.github.io/Coffee-Time-with-Me/,https://github.com/AlenaTih/Coffee-Time-with-Me,68b4bf19000927e26e22
66a817ac002895bc6bfa,,2024-07-29T22:29:01.303+00:00,2024-08-03T22:26:34.125+00:00,Coffee Shop Ordering App,"Browse the beautiful menu online, choose your favorite coffee, pay in a few clicks, and enjoy!",https://alenatih.github.io/Coffee-Shop-Ordering-App/,https://github.com/AlenaTih/Coffee-Shop-Ordering-App,null
66a81877003ceb797fe3,,2024-07-29T22:32:24.721+00:00,2024-08-03T22:27:08.590+00:00,Color Scheme Generator,"Generate an awesome color scheme for your project! Choose a base color and a color mode according to color-wheel combinations, and generate a 5-color scheme. It is displayed with corresponding hex values. And you can easily copy colors to your clipboard by clicking on them or their hex values!",https://alenatih.github.io/Color-Scheme-Generator/,https://github.com/AlenaTih/Color-Scheme-Generator,null
66a819820035c92bfdc7,,2024-07-29T22:36:52.712+00:00,2024-08-03T22:28:03.465+00:00,Repair Service Company Website,"I built a website for a small company of my father and his friends. The company offers repair services for computers and home appliances. The website provides information about the services offered, company background, client feedback, frequently asked questions, and contact details. ",https://repair-service-company-website.vercel.app/,https://github.com/AlenaTih/Repair-Service-Company-Website,null
